tekst,change,company
  transport nabyc obligacja,1,1
ksiegowosc sp. z o.o. nabyc obligacja spolka,1,1
ship service nabyc obligacja spolka,0,1
podpisac z socar umowa na dostawa ropa naftowy,0,1
umowy pomiedzy kapitalowy a total,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
ship service nabyc obligacja wyemitowac przez,0,1
petrocentrum sp. z o.o. nabyc obligacja spolka,0,1
uokik wyrazic zgoda na zbycie 100  akcja polkomtel na rzecz spartan capital holdings sp. z o.o.,0,1
szacunek wybrany dany finansowy i operacyjny gk za 3 kwartal 2011 rok,0,1
ship service nabyc obligacja spolka,1,1
anwil nabyc obligacja wyemitowac przez spolka,1,1
ship service nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,0,1
ship service nabyc obligacja wyemitowac przez,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja spolka,1,1
agrofert holding a.s. zlozyc skarga o uchylic wyrok sad arbitrazowy,1,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,1,1
transport nabyc obligacja spolka,0,1
ksiegowosc sp. z o.o. nabyc obligacja spolka,0,1
podpisac z souz petrolium umowa na dostawa ropa naftowy,0,1
ship service nabyc obligacja wyemitowac przez,1,1
  petrocentrum nabyc obligacja,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
iks solino nabyc obligacja wyemitowac przez,1,1
  anwil nabyc obligacja wyemitowac przez,1,1
ship service nabyc obligacja spolka,1,1
zmiana data publikacja raport okresowy za 3 kwartal 2011 rok,0,1
anwil nabyc obligacja wyemitowac przez spolka,1,1
anwil nabyc obligacja wyemitowac przez,0,1
  petrocentrum nabyc obligacja,0,1
koltrans sp. z o.o. nabyc obligacja spolka,1,1
anwil nabyc obligacja wyemitowac przez,1,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
podpisac z stasco umowa na dostawa ropa naftowy do ab lietuva,1,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac spolka,0,1
  ship service nabyc obligacja wyemitowac przez,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja spolka,0,1
jednolity tekst statut,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,0,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,1,1
transport nabyc obligacja wyemitowac przez,1,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez,1,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,0,1
  upstream nabyc obligacja,0,1
szacunek wybrany dany finansowy i operacyjny kapitalowy za 2 kwartal 2011 rok,0,1
koltrans sp. z o.o. nabyc obligacja spolka,0,1
iks solino nabyc obligacja wyemitowac przez,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,1,1
podpisac z glencore energy uk ltd. umowa na dostawa ropa naftowy do ab lietuva,1,1
anwil nabyc obligacja spolka,1,1
zmiana data publikacja raport okresowy,1,1
podpisac umowa sprzedaz akcja polkomtel na rzecz spartan capital holdings sp. z o.o.,0,1
  upstream nabyc obligacja,0,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez,0,1
transport nabyc obligacja wyemitowac przez,0,1
uchwala podjac przez zwz 29 czerwiec 2011 roku.,0,1
decyzja zwz w sprawa podzial zysk za 2010 rok.,0,1
petrocentrum sp. z o.o. nabyc obligacja spolka,1,1
podpisac z stasco umowa na dostawa ropa naftowy do ab lietuva,1,1
anwil nabyc obligacja wyemitowac przez,0,1
podpisac z star oil fze umowa na dostawa ropa naftowy do unipetrol rpa,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
iks solino nabyc obligacja spolka,1,1
upstream sp. z o.o. nabyc obligacja spolka,1,1
anwil nabyc obligacja spolka,1,1
  petrocentrum nabyc obligacja wyemitowac przez,0,1
deutschland podpisac umowa z biskup europe na dostawa paliwo,1,1
  ksiegowosc nabyc obligacja,0,1
  transport nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
upstream sp. z o.o. nabyc obligacja spolka,1,1
  ksiegowosc nabyc obligacja,0,1
  transport nabyc obligacja wyemitowac przez,0,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,0,1
projekt uchwala zwz zwolac na 29 czerwiec 2011 r.,0,1
zwolanie zwz na 29 czerwiec 2011 r.,0,1
anwil nabyc obligacja spolka,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
iks solino nabyc obligacja spolka,0,1
upstream sp. z o.o. nabyc obligacja spolka,1,1
  petrocentrum nabyc obligacja,1,1
anwil nabyc obligacja wyemitowac przez,1,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
podpisac umowy przez deutschland z shell deutschland oil,1,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
ship service nabyc obligacja wyemitowac przez,1,1
szacunek wybrany dany finansowy i operacyjny kapitalowy za 1 kwartal 2011 rok,1,1
anwil nabyc obligacja wyemitowac przez,0,1
iks solino nabyc obligacja wyemitowac przez,1,1
upstream sp. z o.o. nabyc obligacja spolka,1,1
petrocentrum sp. z o.o. nabyc obligacja spolka,1,1
ship service nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
wykaz informacja przekazac do publiczny wiadomosci w 2010 r.,0,1
koltrans sp. z o.o. nabyc obligacja spolka,0,1
  wygasniecie umowy na utrzymywac zapas obowiazkowy,0,1
transport nabyc obligacja spolka,0,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez,0,1
raport okresowy roczny skonsolidowac za 2010 rs,0,1
raport okresowy roczny za 2010 rok,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,1,1
podpisac z gunvor international b.v. amsterdam umowa na dostawa ropa naftowy,1,1
koltrans sp. z o.o. nabyc obligacja spolka,0,1
anwil nabyc obligacja wyemitowac przez,0,1
  iks solino nabyc obligacja,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
petrocentrum sp. z o.o. nabyc obligacja spolka,1,1
anwil nabyc obligacja wyemitowac przez,1,1
koltrans sp. z o.o. nabyc obligacja spolka,0,1
anwil nabyc obligacja spolka,0,1
petrocentrum sp. z o.o. nabyc obligacja spolka,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,0,1
transport nabyc obligacja wyemitowac przez,0,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,1,1
umowa z sk eurochem na sprzedaz pta,1,1
koltrans sp. z o.o. nabyc obligacja spolka,0,1
petrocentrum sp. z o.o. nabyc obligacja spolka,0,1
  anwil nabyc obligacja,1,1
nabycie obligacj przez iks solino,1,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,1,1
raport okresowy kwartalny skonsolidowac 4/2010 qsr,1,1
dane finansowy za 4 kwartal 2010r.,1,1
podpisac z vitol umowa na dostawa ropa naftowy do ab lietuva,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja,1,1
lietuva podpisac z trafigura beheer b.v. umowa na sprzedaz benzyna,0,1
lietuva podpisac z maersk a/s umowa na sprzedaz ciezki olej opalowy,0,1
lietuva podpisac z biskup oil international ltd umowa na sprzedaz olej napedowy,0,1
emicja obligacja dla anwilu,1,1
transport nabyc obligacja spolka,1,1
ksiegowosc sp. z o.o. nabyc obligacja spolka,1,1
upstream sp. z o.o. nabyc obligacja spolka,1,1
szacunek wybrany dany finansowy i operacyjny za 4 kwartal 2010 rok,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,0,1
iks solino nabyc obligacja spolka,0,1
upstream sp. z o.o. nabyc obligacja spolka,0,1
umowa vz biskup europa na sprzedaz paliwo,1,1
umowa na dostawa ropa naftowy do ab lietuva,0,1
anwil nabyc obligacja wyemitowac przez,1,1
koltrans sp. z o.o. nabyc obligacja spolka,0,1
podpisac z lukoil polski umowa na sprzedaz paliwo,1,1
podpisac umowy z statoil poland na sprzedaz paliwo,1,1
upstream sp. z o.o. nabyc obligacja spolka,0,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez,1,1
transport nabyc obligacja wyemitowac przez,0,1
sprzedaz kolejny czesc zapas obowiazkowy ropa naftowy,1,1
podpisac z glencore energy uk ltd. umowa na dostawa ropa naftowy do unipetrol rpa,1,1
anwil nabyc obligacja wyemitowac przez,0,1
iks solino nabyc obligacja wyemitowac przez,0,1
upstream sp. z o.o. nabyc obligacja spolka,0,1
deutschland nabyc obligacja spolka,0,1
anwil nabyc obligacja wyemitowac przez,0,1
umowa na dostawa ropa naftowy do ab lietuva,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez spolka,0,1
anwil nabyc obligacja wyemitowac przez,0,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,0,1
ppkn anwil nabyc obligacja wyemitowac przez spolka,1,1
transport nabyc obligacja wyemitowac przez,1,1
deutschland nabyc obligacja wyemitowac przez,1,1
podpisac z totsa total oil trading umowa na dostawa ropa naftowy do ab lietuva,1,1
termin przekazywac raport okresowy w 2011 rok,1,1
ing ofe zmniejszyc udzial w ogolny liczba glos na w zastepstwie,0,1
koltrans sp. z o.o. nabyc obligacja spolka,0,1
petrocentrum sp. z o.o. nabyc obligacja spolka,0,1
iks solino nabyc obligacja spolka,0,1
upstream sp. z o.o. nabyc obligacja spolka,0,1
anwil nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,0,1
deutschland nabyc obligacja wyemitowac przez,0,1
koltrans sp. z o.o. nabyc obligacja spolka,0,1
zakonczenie czwarta sprawa przed sad arbitrazowy,0,1
transport nabyc obligacja wyemitowac przez,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,0,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez,0,1
dane finansowy za 3. kwartal 2010r. wedlug segment dzialalnosc,0,1
raport okresowy kwartalny skonsolidowac 3/2010 qsr,0,1
deutschland nabyc obligacja wyemitowac przez,0,1
transport nabyc obligacja wyemitowac przez,0,1
deutschland nabyc obligacja wyemitowac przez,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
szacunek wybrany dany finansowy i operacyjny za 3 kwartal 2010 rok,0,1
petrocentrum sp. z o.o. nabyc obligacja spolka,0,1
anwil nabyc obligacja wyemitowac przez spolka,1,1
iks solino nabyc obligacja wyemitowac przez,1,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,0,1
wybor kpmg audyt sp. z o.o.,1,1
deutschland nabyc obligacja wyemitowac przez,1,1
nabycie obligacja,1,1
wyrok sad w sprawa odwolanie od decyzja prezes uokik,1,1
nabycie obligacja,1,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez spolka,0,1
anwil nabyc obligacja wyemitowac przez,0,1
zmiana data publikacja raport okresowy za 3 kwartal 2010 rok,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
deutschland nabyc obligacja spolka,0,1
transport nabyc obligacja wyemitowac przez,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
iks solino nabyc obligacja wyemitowac przez,1,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
deutschland nabyc obligacja wyemitowac przez,0,1
pko koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
podpisac z gunvor international b.v. amsterdam umowa na dostawa ropa naftowy,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,0,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
dane finansowy za 2. kwartal 2010r. wedlug segment dzialalnosc,0,1
raport okresowy polroczny za 2010 psr,0,1
deutschland nabyc obligacja wyemitowac przez,1,1
 orlen transport nabyc obligacja wyemitowac przez spolka,0,1
  koltrans sp. z o.o. nabyc obligacja wyemitowac przez spolka,0,1
umowa na dostawa ropa naftowy do unipetrol rpa,1,1
jednolity tekst statut,1,1
nabycie obligacja,1,1
deutschland nabyc obligacja wyemitowac przez,1,1
nabycie obligacja,1,1
iks solino nabyc obligacja spolka,0,1
deutschland nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,0,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez,1,1
nabycie obligacja,1,1
korekta wersja angielski raport biezacy numer 127/2010,1,1
szacunek wybrany dany finansowy i operacyjny,1,1
transport nabyc obligacja wyemitowac przez,0,1
deutschland nabyc obligacja wyemitowac przez spolka,0,1
ppkn koltrans sp. z o.o. nabyc obligacja wyemitowac przez spolka,0,1
korekta raport numer 114/2010 dotyczyc powolanie rn,1,1
petrocentrum sp. z o.o. nabyc obligacja spolka,1,1
iks solino nabyc obligacja wyemitowac przez,0,1
koltrans sp. z o.o. nabyc obligacja spolka,1,1
deutschland nabyc obligacja spolka,1,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,0,1
deutschland nabyc obligacja spolka,1,1
transport nabyc obligacja spolka,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
podpisac z gunvor international b.v. amsterdam umowa na dostawa ropa naftowy,1,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,0,1
asfalt sp. z o.o. nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
petrocentrum sp. z o.o. nabyc obligacja spolka,0,1
nabycie obligacja,0,1
  deutschland nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez spolka,1,1
podpisac umowy przez deutschland z shell deutschland oil,1,1
zakonczenie prowadzony rozmowic negocjacyjny w proces sprzedaz akcja anwil,1,1
nabycie obligacja,0,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,0,1
projekt uchwala na zwz zwolac na dzien 25 czerwiec 2010 rok,0,1
zwolanie zwz na dzien 25 czerwiec 2010 rok,0,1
transport nabyc obligacja spolka,1,1
asfalt sp. z o.o. nabyc obligacja wyemitowac przez,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,0,1
dane finansowy za 1 kwartal 2010 r.,0,1
raport okresowy kwartalny skonsolidowac 1/2010 qsr,0,1
iks solino nabyc obligacja wyemitowac przez,0,1
deutschland nabyc obligacja wyemitowac przez,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
asfalt sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,1,1
nabycie obligacja,1,1
pozew dot. postepowanie arbitrazowy przeciwko yukos international,1,1
ksiegowosc sp. z o.o. nabyc obligacja spolka,0,1
anwil nabyc obligacja wyemitowac przez,0,1
deutschland nabyc obligacja wyemitowac przez spolka,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
transport nabyc obligacja wyemitowac przez,0,1
korekta raport biezacy numer 74/2010 dotyczyc szacunek wybrany dany,1,1
szacunek wybrany dany finansowy i operacyjny,1,1
nabycie obligacja,0,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,1,1
przyznanie wylacznosc negocjacyjny w proces sprzedaz akcja anwil,0,1
petrocentrum sp. z o.o. nabyc obligacja spolka,0,1
anwil nabyc obligacja spolki,0,1
podpisac umowy przez deutschland z deutsche biskup,1,1
wykaz informacja przekazac do publiczny wiadomosci w 2009 r.,1,1
deutschland nabyc obligacja wyemitowac przez spolka,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
upstream sp. z o.o. nabyc obligacja spolka,0,1
ksiegowosc sp. z o.o. nabyc obligacja spolka,0,1
podpisac z gunvor international b.v. amsterdam umowa na dostawa ropa naftowy do ab lietuva,0,1
rekomendacja zarzad dla walny zgromadzenie dotyczyc zaniechanie wyplat dywidenda za rok 2009,1,1
raport okresowy roczny skonsolidowac za 2009 rs,1,1
raport okresowy roczny za 2009 rok,1,1
asfalt sp. z o.o. nabyc obligacja spolka,1,1
anwil nabyc obligacja spolka,1,1
zmiana formula utrzymywac zapas obowiazkowy ropa naftowy,1,1
deutschland nabyc obligacja spolka,1,1
podpisac z glencore energy uk ltd. umowa na dostawa ropa naftowy,1,1
zmiana data publikacja raport okresowy za 2009 r.,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
transport nabyc obligacja wyemitowac przez,0,1
asfalt sp. z o.o. nabyc obligacja wyemitowac przez,0,1
nabycie obligacja przez petrocentrum sp. z o.o.,1,1
nabycie obligacja,1,1
nabycie obligacja,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,1,1
nabycie obligacja wyemitowac przez spolka,0,1
nabycie obligacja,0,1
nabycie obligacja,0,1
deutschland nabyc obligacja wyemitowac przez,0,1
transport nabyc obligacja wyemitowac przez,0,1
dane finansowy za 4. kwartal 2009r. wedlug segment,0,1
polski koncern naftowy upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez spolka,0,1
nabycie obligacja,0,1
iks solino nabyc obligacja spolka,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
przekroczenie 5  ogolny liczba glos na wza,0,1
nabycie obligacja,0,1
anwil nabyc obligacja wyemitowac przez,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
nabycie obligacja,1,1
anwil nabyc obligacja wyemitowac przez,0,1
szacunek wybrany dany finansowy i operacyjny za 4 kwartal 2009 r.,0,1
nabycie obligacja,0,1
deutschland nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
transport nabyc obligacja wyemitowac przez,1,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,1,1
termin przekazywac raport okresowy w 2010 rok,1,1
asfalt sp. z o.o. nabyc obligacja wyemitowac przez,0,1
iks solino nabyc obligacja wyemitowac przez,0,1
podpisac z statoil poland umowa na sprzedaz paliwo,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
nabycie obligacja,0,1
zmiana w umowa depozytowy,0,1
anwil nabyc obligacja wyemitowac przez,0,1
polski koncern naftowy podpisac z petrocentrum umowa na sprzedaz paliwo,1,1
polski koncern naftowy podpisac z shell polski umowa na sprzedaz paliwo,1,1
transport nabyc obligacja wyemitowac przez,0,1
zmiana w rad nadzorczy,0,1
podpisac z totsa total oil trading umowa na dostawa ropa naftowy,0,1
zawarcie aneks do umowy pomiedzy rafineria trzebinia i pgnig,0,1
anwil nabyc obligacja wyemitowac przez,1,1
petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez spolka,0,1
wybor kpmg sp. z o.o. jako podmiot uprawniony do,0,1
iks solino nabyc obligacja wyemitowac przez,0,1
deutschland nabyc obligacja wyemitowac przez,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
ksiegowosc sp. z o.o. nabyc obligacja spolka,0,1
otwarcie postepowanie likwidacyjny,0,1
umowa na dostawa ropa naftowy,0,1
deutschland nabyc obligacja wyemitowac przez,0,1
umowa na dostawa ropa naftowy,0,1
nabycie obligacja,1,1
asfalt sp. z o.o. nabyc obligacja wyemitowac przez,1,1
transport nabyc obligacja wyemitowac przez,0,1
deutschland nabyc obligacja wyemitowac przez,0,1
pkno petrocentrum sp. z o.o. nabyc obligacja wyemitowac przez,1,1
dane finansowy za 3. kwartal 2009 r. wedlug segment dzialalnosc,1,1
raport okresowy qsr,1,1
iks solino nabyc obligacja wyemitowac przez,0,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,1,1
nabycie obligacja,1,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
nabycie obligacja przez deutschland,1,1
nabycie obligacja przez deutschland,1,1
asfalt sp. z o.o. nabyc obligacja wyemitowac przez,1,1
deutschland nabyc obligacja wyemitowac przez,1,1
korekta rb numer 153/2009,0,1
szacunek wybrany dany operacyjny za 3 kwartal 2009 rok,0,1
transport nabyc obligacja wyemitowac przez,1,1
deutschland nabyc obligacja wyemitowac przez,1,1
podpisac z gunvor international b.v. amsterdam umowa na dostawa ropa,1,1
anwil nabyc obligacja wyemitowac przez,0,1
umowa na dostawa ropa naftowy,1,1
anwil nabyc obligacja wyemitowac przez,1,1
deutschland nabyc obligacja wyemitowac przez,0,1
iks solino nabyc obligacja wyemitowac przez spolka,0,1
  koltrans sp. z o.o. nabyc obligacja wyemitowac przez,0,1
anwil nabyc obligacja wyemitowac przez,0,1
ksiegowosc sp. z o.o. nabyc obligacja wyemitowac przez,1,1
upstream sp. z o.o. nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,1,1
deutschland nabyc obligacja wyemitowac przez,1,1
asfalt sp. z o.o. nabyc obligacja wyemitowac przez spolka,1,1
jednolity tekst statut,0,1
deutschland nabyc obligacja wyemitowac przez,0,1
transport nabyc obligacja wyemitowac przez,0,1
korekta data publikacja informacja o szacunek dany fnansowych,0,1
anwil nabyc obligacja wyemitowac przez,1,1
rada nadzorczy przyjac tekst jednolity statut spolka,0,1
deutschland nabyc obligacja wyemitowac przez,1,1
skonsolidowac raport polroczny,0,1
wybor czlonek rad nadzorczy,0,1
deutschland nabyc obligacja,1,1
zmiana w sklad zarzad,0,1
szacunek wybrany dany operacyjny za 1 kwartal 2008 rok,1,1
anwil nabyc obligacja wyemitowac przez,0,1
nabycie obligacja przez anwil,1,1
zmiana w sklad rad nadzorczy,1,1
uchwala podjac przez nwz,1,1
asfalt sp. z o.o. nabyc obligacja,0,1
wybor podmiot uprawniony do badanie sprawozdanie finansowy,0,1
waldemar maj zostac powolany na stanowisko wiceprezes zarzad,0,1
zwolanie nwz na dzien 30 listopad 2006 r.,1,1
zmiana w sklad zarzad,0,1
umowa pomiedzy mazeikiu nafta  gt trading oy i trafigura beheer,0,1
podpisac z exatel umowa sprzedaz udzial w spolka nom,0,1
kandydat do rad nadzorczy,0,1
szacunek wybrany dany za 2 kwartal 2008 rok,0,1
anwil nabyc obligacja wyemitowac przez,1,1
zmiana w sklad rad nadzorczy,1,1
utrata mozliwosci wykonywac prawa glos,0,1
wplyw wycena zapas metoda lifo na wynik finansowy,1,1
sprawozdanie finansowy za 4 kwartal 2004 rok wedlug mssf,1,1
podpisac umowy przez deutschland z shell deutschland oil,1,1
iks solino nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez,0,1
deutschland nabyc obligacja wyemitowac przez,1,1
raport okresowy sa rs,1,1
raport okresowy sa r,1,1
tresc uchwala podjac przez nwz 31 styczen 2006 rok,0,1
zawarcie umowy przez mazeikiu nafta z esc trading,1,1
zawarcie umowy przez mazeikiu nafta z trafigura beheer b.v. amsterdam,1,1
zawarcie kontrakt przez deutschland z deutsche biskup,0,1
zniesienie zabezpieczenie na akcja polkomtel,0,1
nabycie udzial spolka etylobenzen plock sp. z o.o.,1,1
koniec zapis na sprzedaz akcja mazeikiu nafta,1,1
ksiegowosc sp. z o.o. nabyc obligacja spolka,0,1
iks solino nabyc obligacja spolka,1,1
podpisac przyrzec umowy sprzedaz udzial awsa holland ii b.v.,1,1
zgoda na ogloszenie obowiazkowy wezwanie na akcja,0,1
uzupelnienie wniosek dotyczyc wezwanie na akcja,0,1
deutschland nabyc obligacja wyemitowac przez spolka,0,1
akceptacja oferta i warunkowe zbycie akcja polkomtel,0,1
rozwiazanie umowy z synthos dwor sp. z o.o.,0,1
strategia 2009 2013,1,1
zmiana data publikacja raport okresowy za trzeci kwartal 2007 rok,1,1
wygasniecie mandat czlonek zarzad spolka,0,1
nabycie akcja spolana a.s. przez zaklady azotowy anwil,1,1
zmiana w sklad zarzad,0,1
transakcja z podmiot powiazac 500.000 euro,0,1
komentarz do dany finansowy,1,1
zwolanie nwz na dzien 7 luty 2008 r.,0,1
umowa z anwim na sprzedaz paliwo,0,1
zbycie udzial spolka zawiatj swinoujscie sp. z o.o.,0,1
powolanie rad nadzorczy na nowa kadencja,0,1
tresc uchwala podjac przez zwz 31 maja 2007 r.,0,1
gwarancja udzielic przez spolka,0,1
anwil nabyc obligacja wyemitowac przez,1,1
zawarcie kontrakt z petrocentrum sp. z o.o.,1,1
zawarcie kontrakt z shell polski spolka z o.o.,1,1
zawarcie kontrakt z biskup polski spolka z o.o.,1,1
koltrans sp. z o.o. nabyc obligacja wyemitowac przez spolka,1,1
wybor czlonek rad nadzorczy,0,1
tresc uchwala podjac przez nwz 14 pazdziernik 2005 r.,0,1
rezygnacja czlonek rad nadzorczy spolka,1,1
iks solino nabyc obligacja wyemitowac przez,1,1
anwil nabyc obligacja wyemitowac przez spolka,0,1
deutschland nabyc obligacja wyemitowac,0,1
zawarcie umowy na dostawa benzyna do piroliza,0,1
oswiadczenie wobec zasada lad korporacyjny,0,1
tresc uchwala podjac przez zwz,0,1
aktualizacja strategia 2006 2009,1,1
nabycie obligacja,1,1
podwyzszenie kapital zakladowy plocki park przemyslowo   technologiczny,0,1
anwil nabyc obligacja wyemitowac emitent,1,1
tresc uchwala podjac na nwz,0,1
przeniesienie wlasnosc akcja spolka,1,1
unipetrol a.s. nabyc udzial w spolka butadien kralupy a.s.,1,1
termin przekazywac raport okresowy w rok 2005,0,1
podjecie decyzja o odstapic przez spolka od umowic z agrofert holding a.s.,0,1
nabycie obligacja,1,1
nabycie obligacja,1,1
podpisac z europejski bank inwestycyjny umowa kredytowy,0,1
podpisac z biskup polski umowy na sprzedaz paliwo,0,1
umowa na sprzedaz paliwo z shell polski,0,1
otrzymac odpis pozew od sad arbitrazowy o zaplata kary umowny,1,1
podwyzszenie kapital zakladowy eko sp. z o.o.,0,1
deutchland aga pozyskac zgoda korporacyjny na zakup stacja benzynowy,1,1
